player,opponent,games_against,wins_against,win_rate_against
chewy_chungus69,Memento Mori217,8,2,0.25
chewy_chungus69,MerculesMilenial,3,3,1.0
chewy_chungus69,NMTotra,3,3,1.0
chewy_chungus69,OGYeet_,4,3,0.75
chewy_chungus69,Preet,14,10,0.7142857142857143
chewy_chungus69,Recktals,6,0,0.0
chewy_chungus69,Ryan,4,1,0.25
chewy_chungus69,"Shuk""!",13,4,0.3076923076923077
chewy_chungus69,Slik,10,4,0.4
chewy_chungus69,SpicyShinobi,8,5,0.625
chewy_chungus69,Suduko,8,2,0.25
chewy_chungus69,TheRealDunion,7,6,0.8571428571428571
chewy_chungus69,TheRyan.,6,3,0.5
chewy_chungus69,TweakingOut,10,4,0.4
chewy_chungus69,bro.ro711,6,3,0.5
chewy_chungus69,dray (learning controller,4,3,0.75
chewy_chungus69,enzo,17,9,0.5294117647058824
chewy_chungus69,qFoal,15,9,0.6
chewy_chungus69,ski11acam,3,0,0.0
chewy_chungus69,tjdubya21,45,17,0.37777777777777777
chiped.potato,Firefi6ht_RL,8,2,0.25
chiped.potato,MtnDru,8,2,0.25
chiped.potato,SpicyShinobi,8,2,0.25
dray (learning controller,A Simple Femgirl,5,3,0.6
dray (learning controller,Car-.-,4,1,0.25
dray (learning controller,Chow_Mitch,8,4,0.5
dray (learning controller,CoolNerdGames,9,3,0.3333333333333333
dray (learning controller,Fastmadcow,9,4,0.4444444444444444
dray (learning controller,Germ.,13,6,0.46153846153846156
dray (learning controller,MerculesMilenial,4,3,0.75
dray (learning controller,Recktals,4,1,0.25
dray (learning controller,Suduko,4,1,0.25
dray (learning controller,bro.ro711,14,6,0.42857142857142855
dray (learning controller,chewy_chungus69,4,1,0.25
dray (learning controller,enzo,4,3,0.75
dray (learning controller,qFoal,4,3,0.75
dray (learning controller,tjdubya21,4,3,0.75
enjay,Bluegy,6,6,1.0
enjay,Boydardi,4,3,0.75
enjay,Eclipsed Frog,4,3,0.75
enjay,EricTheHispanic,4,1,0.25
enjay,Fastmadcow,7,4,0.5714285714285714
enjay,Firefi6ht_RL,4,1,0.25
