Discord,League,Ballchasing,TRN,Team,Traded,TradeDate,TradedTeam,Active,Alias,Platform,platform_id,alt,alt_platform,alt_platform_id
TheRealDunion,C,https://ballchasing.com/player/steam/76561198044125394,https://rocketleague.tracker.network/rocket-league/profile/epic/TheRealDunion/overview,Bezos Bros,N,,,Y,TheRealDunion,steam,76561198044125394,TheRealDunion,epic,5995ffd158294826824891a9f1464ec6
Speer,C,https://ballchasing.com/?player-name=SpeerSavage,https://rocketleague.tracker.network/rocket-league/profile/epic/SpeerSavage/overview,King Koba,N,,,Y,Speer,epic,673c8b3a33f74e259c44b115811197d6,,,
Infantryboyz09,C,https://ballchasing.com/player/steam/76561198985957273,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198985957273/overview,Tai Lung Leopards,N,,,Y,Infantryboyz09,steam,76561198985957273,,,
Captain Wolfer,C,https://ballchasing.com/player/steam/76561198135491548,https://rocketleague.tracker.network/rocket-league/profile/epic/Captain%20Wolfer/overview,Ginyu Force,N,,,Y,Captain Wolfer,steam,76561198135491548,Captain Wolfer,epic,d6409a6dd5c24f33afc33fe0c281682a
RequitedZeus,C,https://ballchasing.com/player/steam/76561199777005471,https://rocketleague.tracker.network/rocket-league/profile/xbl/RequitedZeus417/overview,Big Pharma,N,,,Y,RequitedZeus,steam,76561199777005471,Requited Zeus,epic,bafffec8fe3a419db4749ed9c9f0af70
Average Mikey,C,https://ballchasing.com/player/steam/76561198028536054,https://rocketleague.tracker.network/rocket-league/profile/epic/Little_Mikey/overview,Galactic Empire,N,,,Y,Average Mikey,steam,76561198028536054,,,
tnap16_,C,https://ballchasing.com/player/epic/e463414932e249e6bc67e75598dd6c97,https://rocketleague.tracker.network/rocket-league/profile/epic/tnap16_/overview,Galactic Empire,N,,,Y,tnap16_,epic,e463414932e249e6bc67e75598dd6c97,,,
Ted Grundie,C,https://ballchasing.com/player/steam/76561198357694802,https://rocketleague.tracker.network/rocket-league/profile/epic/Ted_Grundie/overview,Megaminds,N,,,Y,Ted Grundie,steam,76561198357694802,Ted_Grundie,epic,6d6d613d31d44b8b8c1e1f445b1421e0
Genghis_Jon,C,https://ballchasing.com/player/steam/76561197976461110,https://rocketleague.tracker.network/rocket-league/profile/epic/genghis_jon1/overview,Tai Lung Leopards,N,,,Y,Genghis_Jon,steam,76561197976461110,Ghengis_Jon1,epic,aff4063c8d584ae89ad0715af28ed9bc
FishTaco,C,https://ballchasing.com/player/steam/76561197960956993,https://rocketleague.tracker.network/rocket-league/profile/steam/76561197960956993/overview,King Koba,N,,,Y,FishTaco,steam,76561197960956993,,,
Kyyrbes,C,https://ballchasing.com/player/steam/76561198032866852,https://rocketleague.tracker.network/rocket-league/profile/epic/Kyyrbes/overview,Tai Lung Leopards,N,,,Y,Kyyrbes,steam,76561198032866852,,,
OGYeet,C,https://ballchasing.com/player/epic/f305f16ce9654a57ab821728dfaaf4af,https://rocketleague.tracker.network/rocket-league/profile/epic/OGYeet_/overview,Vectors,N,,,Y,OGYeet,epic,f305f16ce9654a57ab821728dfaaf4af,,,
Hedmarkers,C,https://ballchasing.com/player/steam/76561198992613779,https://rocketleague.tracker.network/rocket-league/profile/epic/Hedmarkers/overview,Galactic Empire,N,,,Y,Hedmarkers,steam,76561198992613779,Hedmarkers,epic,c96392b76e0343c68349d9b2cba52b73
Millz,C,https://ballchasing.com/?player-name=xTT_Millzx,https://rocketleague.tracker.network/rocket-league/profile/epic/xTT_Millzx/overview,Ginyu Force,N,,,Y,Millz,epic,a7a2e2884e774c5893be40a6cb0d10e2,Best_Friend_Kyle,epic,f4f654a5b75848be98c11815f49aa0f3
davids2844,C,https://ballchasing.com/player/steam/76561198035902902,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198035902902/overview,Galactic Empire,N,,,Y,davids2844,steam,76561198035902902,,,
Robmavo,C,https://ballchasing.com/player/steam/76561198070468147,https://rocketleague.tracker.network/rocket-league/profile/epic/Robmavo/overview,King Koba,N,,,Y,Robmavo,steam,76561198070468147,Robmavo,epic,30634dfdbff4450b95215d9b309ec37c
Comfy,C,https://ballchasing.com/?player-name=Cuhmfortable,https://rocketleague.tracker.network/rocket-league/profile/epic/Cuhmfortable/overview,Alternate,N,,,Y,Comfy,epic,b7c070c13033427faa1ccbda6637706d,,,
Preet,C,https://ballchasing.com/player/steam/76561199061338732,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199061338732/overview,Bezos Bros,N,,,Y,Preet,steam,76561199061338732,,,
TweakingOut,C,https://ballchasing.com/player/steam/76561198325326986,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198325326986/overview,Vectors,N,,,Y,TweakingOut,steam,76561198325326986,,,
Sundance,C,https://ballchasing.com/player/steam/76561198412635657,https://rocketleague.tracker.network/rocket-league/profile/epic/SundanceFTO/overview,Alternate,N,,,Y,Sundance,steam,76561198412635657,,,
Felixxxxm,C,https://ballchasing.com/player/steam/76561198292906753,https://rocketleague.tracker.network/rocket-league/profile/epic/Felixxxxm/overview,Bezos Bros,N,,,Y,Felixxxxm,steam,76561198292906753,Felixxxxm,epic,8f9bad4ed6ab4930a24279601a843341
HeroBear,C,https://ballchasing.com/?player-name=herobear_gaymer,https://rocketleague.tracker.network/rocket-league/profile/epic/herobear_gaymer/overview,Alternate,N,,,Y,HeroBear,epic,ef77267dc1634ecd98229d56406360b9,,,
jim tinananim,C,https://ballchasing.com/player/steam/76561198330721147,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198330721147/overview,Megaminds,N,,,Y,jim tinananim,steam,76561198330721147,,,
Ryan,B,https://ballchasing.com/player/steam/76561198087569630,https://rocketleague.tracker.network/rocket-league/profile/epic/Sausagewa1let/overview,King Koba,N,,,Y,Ryan ,steam,76561198087569630,,,
